category,filename,tv_symbol,name,listing
sme,RBS,NSE:RBS,Ramdevbaba Solvent Limited,23-Apr-24
sme,BIRDYS,NSE:BIRDYS,Grill Splendour Services Limited,23-Apr-24
sme,TGL,NSE:TGL,Teerth Gopicon Limited,16-Apr-24
sme,DCG,NSE:DCG,DCG Cables & Wires Limited,16-Apr-24
sme,DRSCARGO,NSE:DRSCARGO,DRS Cargo Movers Limited,10-Apr-24
sme,CGRAPHICS,NSE:CGRAPHICS,Creative Graphics Solutions India Limited,09-Apr-24
sme,ALUWIND,NSE:ALUWIND,ALUWIND INFRA-TECH LIMITED,09-Apr-24
sme,K2INFRA,NSE:K2INFRA,K2 Infragen Limited,08-Apr-24
sme,YASHOPTICS,NSE:YASHOPTICS,Yash Optics & Lens Limited,08-Apr-24
sme,RADIOWALLA,NSE:RADIOWALLA,Radiowalla Network Limited,05-Apr-24
sme,TAC,NSE:TAC,TAC Infosec Limited,05-Apr-24
sme,TRUST,NSE:TRUST,Trust Fintech Limited,04-Apr-24
sme,BLUEPEBBLE,NSE:BLUEPEBBLE,Blue Pebble Limited,03-Apr-24
sme,ASPIRE,NSE:ASPIRE,Aspire & Innovative Advertising Limited,03-Apr-24
sme,NAMAN,NSE:NAMAN,Naman Industries Proxima Limited,02-Apr-24
sme,VISHWAS,NSE:VISHWAS,Vishwas Agri Seeds Limited,01-Apr-24
sme,ENSER,NSE:ENSER,Enser Communications Limited,22-Mar-24
sme,ENFUSE,NSE:ENFUSE,Enfuse Solutions Limited,22-Mar-24
sme,AVPINFRA,NSE:AVPINFRA,AVP Infracon Limited,20-Mar-24
sme,SIGNORIA,NSE:SIGNORIA,Signoria Creation Limited,19-Mar-24
sme,PRATHAM,NSE:PRATHAM,Pratham EPC Projects Limited,18-Mar-24
sme,SHREEKARNI,NSE:SHREEKARNI,Shree Karni Fabcom Limited,14-Mar-24
sme,SONAMAC,NSE:SONAMAC,Sona Machinery Limited,13-Mar-24
sme,VR,NSE:VR,V R Infraspace Limited,12-Mar-24
sme,MVKAGRO,NSE:MVKAGRO,M.V.K. Agro Food Product Limited,07-Mar-24
sme,PURVFLEXI,NSE:PURVFLEXI,Purv Flexipack Limited,05-Mar-24
sme,OWAIS,NSE:OWAIS,Owais Metal And Mineral Processing Limited,04-Mar-24
sme,SADHAV,NSE:SADHAV,Sadhav Shipping Limited,01-Mar-24
sme,ZENITHDRUG,NSE:ZENITHDRUG,Zenith Drugs Limited,27-Feb-24
sme,DEEM,NSE:DEEM,Deem Roll Tech Limited,27-Feb-24
